analysis_id,tnu43q00nfeq338
mouse_strain,C57BL
parameter_name,Periphery average speed
parameter_id,ESLIM_007_001_009
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.2751767
mouse_life_stage,Middle aged adult
