parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:3616086
analysis_id,f49667nq68pb608
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
pvalue,0.7407147
mouse_strain,C57BL
gene_symbol,Kcng1
