analysis_id,i16t52z764531n7
mouse_strain,C57BL
pvalue,0.9225499
gene_symbol,Slc2a8
parameter_id,IMPC_CSD_011_001
gene_accession_id,MGI:1860103
parameter_name,Coat - hair distribution - back
mouse_life_stage,Early adult
