parameter_name,Contact righting
gene_symbol,Zyg11b
parameter_id,JAXLA_CSD_077_001
analysis_id,m45016km8p30w90
mouse_life_stage,E18.5
pvalue,0.6661357
mouse_strain,C57BL
gene_accession_id,MGI:2685277
