parameter_name,Clavicle
mouse_life_stage,Early adult
analysis_id,cey08y4zz476j01
pvalue,0.9120438
mouse_strain,129SV
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_id,IMPC_XRY_007_001
