analysis_id,0l27153mc30nb0n
mouse_life_stage,E12.5
gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.6643156
mouse_strain,C57BL
parameter_name,Naive CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_076_001
