parameter_name,cDCs CD11b Type
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
parameter_id,IMPC_IMM_073_001
analysis_id,j4umf3g17p4pi1o
mouse_strain,C57BL
pvalue,0.2667356
mouse_life_stage,Early adult
