analysis_id,zpw8x1057022m07
pvalue,0.4307525
gene_symbol,Mgst2
mouse_strain,C57BL
parameter_name,Calcium
gene_accession_id,MGI:2448481
parameter_id,IMPC_CBC_009_001
mouse_life_stage,Early adult
