gene_symbol,Lime1
pvalue,0.9465549
parameter_name,Effector Treg cells - % of Treg
analysis_id,1s8117p7z84vj86
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
parameter_id,MGP_MLN_009_001
