analysis_id,xd1n192pm6684r4
pvalue,0.1210561
mouse_strain,C57BL
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_life_stage,Early adult
