mouse_life_stage,Early adult
gene_symbol,Col6a3
parameter_id,MGP_MLN_014_001
pvalue,0.3923645
parameter_name,Resting CD8+ T cells - % of CD8+
analysis_id,2oq1l0vtzp516o7
mouse_strain,C57BL
gene_accession_id,MGI:88461
