gene_symbol,Pum1
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:1931749
parameter_name,Body Weight
pvalue,0.4684403
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6z396t52s9ve862
