analysis_id,2746a97p282l204
pvalue,0.2307443
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
gene_symbol,Ddx27
parameter_name,Tibia length
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
