parameter_name,center - resting time
pvalue,0.8256871
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C57BL
analysis_id,ev60b125z9r21dq
mouse_life_stage,E9.5
