parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
analysis_id,4780choxe3o6242
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.9458585
parameter_name,Cue Baseline % Freezing Time
