analysis_id,38ppq2dlp7y608w
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery distance travelled
pvalue,0.06093875
gene_accession_id,MGI:105073
gene_symbol,Tnni1
parameter_id,JAX_OFD_010_001
