mouse_life_stage,E9.5
analysis_id,7q23ox6mo419006
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,Calcium
mouse_strain,C50BL
pvalue,0.7543089
