gene_symbol,Bmp7
gene_accession_id,MGI:103302
pvalue,0.978908
parameter_name,center - distance
analysis_id,46b24620ojmgt1x
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
