parameter_name,Total T cell percentage
mouse_life_stage,Early adult
parameter_id,MGP_PBI_001_001
analysis_id,tuc0h5j2dsbw13f
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
mouse_strain,C57BL
pvalue,0.1144975
