analysis_id,b6j19846hc34534
parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:2443129
pvalue,0.3362625
gene_symbol,Golm2
parameter_name,Fat/Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
