analysis_id,h33q5a67fe3tfja
gene_symbol,Ufc1
pvalue,0.8908256
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
gene_accession_id,MGI:1913405
parameter_id,IMPC_CSD_012_001
