parameter_name,Average duration
mouse_strain,C57BL
analysis_id,4d8blewnh82jl75
gene_symbol,Eprs1
pvalue,0.555525
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
