analysis_id,l0945p983jw9a3o
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,IMPC_DXA_005_001
parameter_name,Bone Mineral Content (excluding skull)
gene_accession_id,MGI:1914071
pvalue,0.111369
