analysis_id,513xcg956rdj832
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
gene_symbol,Bmi1
parameter_id,ESLIM_016_001_005
pvalue,0.674249
parameter_name,Mean cell volume
mouse_strain,C57BL
