Analysis_id,2k18xgp31s6rt02
Gene_symbol,Lcn2
mouse_strain,C57BL
Pvalue,0.8845874
Parameter_id,IMPC_HEM_027_001
Parameter_name,Red blood cell distribution width
Gene_accession_id,MGI:96757
Mouse_life_stage,Early adult
