parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
pvalue,0.8737232
analysis_id,8i88c0v9mct47kb
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_name,Placenta Morphology
