parameter_id,HRWLLA_OFD_011_001
analysis_id,oh71eaalczz0946
gene_accession_id,MGI:2446274
parameter_name,Periphery resting time
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.7879927
