parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
gene_symbol,Psd4
analysis_id,w01393cgz78cn29
mouse_strain,C57BL
pvalue,0.9626669
