analysis_id,b56w520863g9khn
pvalue,0.7376669
gene_symbol,Snrpb2
parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_020_001
