parameter_name,Cornea
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
gene_symbol,Atrn
analysis_id,xcxlll4khs390nt
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
pvalue,0.5910742
