analysis_id,356qgk8e6c5w1d9
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
parameter_id,HMGULA_CBC_018_001
pvalue,0.1993374
parameter_name,Glucose
gene_symbol,Extl1
mouse_strain,C57BL
