gene_symbol,Morn5
pvalue,0.362956
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1922745
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_life_stage,Early adult
analysis_id,18p27s20230871f
