gene_symbol,Trp53rkb
parameter_id,M-G-P_016_001_006
pvalue,0.4328983
mouse_life_stage,Early adult
analysis_id,n5i2txsut31dp4b
gene_accession_id,MGI:1914050
mouse_strain,C57BL
parameter_name,Mean-corpuscular-haemoglobin
