analysis_id,9ij2p99rx64er84
parameter_id,ESLIM_001_001_117
pvalue,0.4970469
parameter_name,eye size
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zfp683
