parameter_name,Center resting time
pvalue,0.4880859
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
analysis_id,0mbvt2l8swfwonr
gene_symbol,Zmynd19
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
