parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
gene_accession_id,MGI:1332236
gene_symbol,Cds2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,shl4905r9e07v41
pvalue,0.1293799
