gene_symbol,F2
parameter_name,Periphery resting time
gene_accession_id,MGI:88380
analysis_id,iv7gmr2rg2lpbh3
mouse_strain,C57BL
pvalue,0.3158378
parameter_id,IMPC_OFD_011_001
mouse_life_stage,Early adult
