analysis_id,w0c3d9x9n1jcj3p
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,0.1354258
mouse_life_stage,Late adult
parameter_id,MGP_IMM_079_001
