parameter_name,Center average speed
gene_symbol,Bpifa3
analysis_id,b92fwirh3r03ps2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_OFD_017_001
pvalue,0.5410251
gene_accession_id,MGI:1920638
