gene_symbol,Eprs1
mouse_life_stage,E12.5
analysis_id,28qhuu46kz0x4m7
pvalue,0.6635593
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
parameter_name,Periphery resting time
gene_accession_id,MGI:97838
