parameter_name,Weight
analysis_id,2y2bs4ngb049z33
mouse_strain,C57BL
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
gene_symbol,Slc28a2
pvalue,0.06353182
parameter_id,M-G-P_005_001_001
