gene_symbol,Abo
mouse_strain,C57BL
parameter_name,Total B cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_041_001
analysis_id,mb9vz20105817k3
gene_accession_id,MGI:2135738
pvalue,0.5217255
