analysis_id,4x66nup103v0233
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
pvalue,0.3914993
gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
