analysis_id,w16i52zgl56218h
parameter_name,% Pre-pulse inhibition - PPI1
gene_accession_id,MGI:1338022
gene_symbol,Opn3
parameter_id,IMPC_ACS_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9528519
