analysis_id,wn3373d8gs98616
gene_symbol,Ddx27
pvalue,0.07592408
gene_accession_id,MGI:2385884
parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
