analysis_id,apxi61e16g9xqkn
pvalue,0.1267738
mouse_life_stage,E12.5
parameter_id,IMPC_HEM_038_001
gene_symbol,Mecom
mouse_strain,C57BL
parameter_name,Basophil differential count
gene_accession_id,MGI:95457
