parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:2444554
pvalue,0.460944
gene_symbol,Mapkap1
mouse_life_stage,E15.5
analysis_id,47w297r8fxsd3p0
mouse_strain,C57BL
parameter_name,Blood Vessel Morphology
