analysis_id,n4008w65i0ky0cd
gene_accession_id,MGI:88071
parameter_name,Platelet count
gene_symbol,Arnt
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5567872
parameter_id,IMPC_HEM_008_001
