analysis_id,21gjfw1s0ol604z
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.2580649
parameter_id,MGP_MLN_067_001
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
