analysis_id,bjo7c1f6698k7eu
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
pvalue,0.8385054
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_symbol,Pld1
