gene_symbol,Hpca
analysis_id,0zq714t5388yh30
mouse_life_stage,Late adult
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:1336200
pvalue,0.4312174
parameter_id,IMPC_EYE_092_001
