analysis_id,3430ly60w918syd
gene_accession_id,MGI:95457
parameter_id,HRWLLA_OFD_017_001
gene_symbol,Mecom
mouse_strain,C57BL
parameter_name,Center average speed
mouse_life_stage,E12.5
pvalue,0.6499182
