analysis_id,52404n8117k1b9p
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
gene_symbol,Mms22l
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,0.6762753
gene_accession_id,MGI:2684980
