analysis_id,9y43c6155hef026
pvalue,0.4716989
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
