analysis_id,72bhj9htuf65b26
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.1724674
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
mouse_strain,C57BL
