parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:1913396
pvalue,0.2587012
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Maco1
parameter_id,IMPC_ABR_006_001
analysis_id,964s7a756940t3r
