gene_symbol,Atg4c
gene_accession_id,MGI:2651854
mouse_strain,C57BL
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
pvalue,0.7772093
analysis_id,52e6kj2f1840i24
