analysis_id,gar24en58i947xb
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,E15.5
pvalue,0.1315624
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:95457
gene_symbol,Mecom
