parameter_name,Heart weight
pvalue,0.9299719
gene_symbol,Npbwr1
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
analysis_id,92cm2v4798a6491
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
