analysis_id,06151xoo839p2to
gene_accession_id,MGI:2670995
parameter_name,Contact righting
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
pvalue,0.6250643
gene_symbol,Trp53i11
