analysis_id,19178h152efthjt
mouse_strain,C57BL
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
mouse_life_stage,Early adult
pvalue,0.4069998
parameter_name,Total holepokes
parameter_id,JAXLA_HBD_001_001
