gene_symbol,Nr0b2
analysis_id,v8c9ex28jdbl39n
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,IMPC_HEM_001_001
parameter_name,White blood cell count
mouse_strain,B6J
pvalue,0.5099958
