analysis_id,5a1k10i0mmit7n0
pvalue,0.5284884
mouse_life_stage,Early adult
parameter_name,Radius
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:109585
gene_symbol,Pld1
