analysis_id,j6hyjc1m0o4682l
parameter_name,Number of rears - total
pvalue,0.2518116
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_id,JAX_OFD_021_001
mouse_strain,C57BL
mouse_life_stage,E9.5
